iter	Passed	Remaining
815	155072	34967
816	155215	34766
817	155361	34567
818	155505	34366
819	155651	34167
820	155793	33967
821	155943	33768
822	156086	33569
823	156231	33369
824	156378	33171
825	156526	32972
826	156665	32772
827	156812	32574
828	156952	32374
829	157101	32177
830	157244	31978
831	157421	31786
832	157581	31592
833	157726	31394
834	157867	31195
835	158021	30999
836	158164	30801
837	158307	30603
838	158456	30407
839	158598	30209
840	158740	30011
841	158883	29814
842	159020	29615
843	159171	29420
844	159313	29223
845	159458	29026
846	159599	28829
847	159777	28639
848	159961	28450
849	160113	28255
850	160253	28058
851	160395	27862
852	160543	27666
853	160700	27473
854	160867	27281
855	161029	27089
856	161208	26899
857	161364	26705
858	161508	26510
859	161652	26315
860	161793	26120
861	161936	25924
862	162078	25729
863	162224	25535
864	162373	25341
865	162521	25147
866	162663	24953
867	162811	24759
868	162960	24566
869	163127	24375
870	163317	24188
871	163458	23993
872	163600	23799
873	163750	23607
874	163897	23413
875	164075	23225
876	164226	23032
877	164374	22840
878	164516	22646
879	164668	22454
880	164822	22263
881	165051	22081
882	165252	21896
883	165405	21704
884	165604	21519
885	165785	21331
886	165917	21137
887	166014	20938
888	166116	20741
889	166221	20544
890	166328	20347
891	166427	20150
892	166534	19954
893	166633	19757
894	166731	19560
895	166875	19369
896	167049	19181
897	167195	18990
898	167335	18799
899	167531	18614
900	167737	18430
901	167911	18243
902	168105	18057
903	168309	17873
904	168610	17699
905	168826	17516
906	169023	17330
907	169245	17148
908	169450	16963
909	169704	16783
910	169893	16597
911	170101	16413
912	170243	16222
913	170401	16033
914	170545	15843
915	170694	15653
916	170898	15468
917	171081	15281
918	171224	15091
919	171371	14901
920	171526	14712
921	171691	14524
922	171928	14342
923	172155	14159
924	172322	13972
925	172495	13784
926	172741	13603
927	172935	13417
928	173085	13228
929	173229	13038
930	173401	12851
931	173620	12667
932	173808	12481
933	173996	12295
934	174153	12106
935	174355	11921
936	174507	11733
937	174706	11547
938	174914	11362
939	175124	11178
940	175266	10989
941	175422	10800
942	175563	10612
943	175730	10424
944	175898	10237
945	176055	10049
946	176198	9861
947	176353	9673
948	176557	9488
949	176726	9301
950	176874	9113
951	177021	8925
952	177169	8737
953	177340	8551
954	177561	8366
955	177781	8182
956	177977	7996
957	178184	7811
958	178401	7627
959	178628	7442
960	178788	7255
961	179007	7070
962	179165	6883
963	179334	6697
964	179581	6513
965	179809	6328
966	179962	6141
967	180111	5954
968	180250	5766
969	180403	5579
970	180554	5392
971	180769	5207
972	180975	5021
973	181253	4838
974	181469	4653
975	181680	4467
976	181980	4284
977	182289	4100
978	182502	3914
979	182736	3729
980	182950	3543
981	183122	3356
982	183282	3169
983	183454	2982
984	183659	2796
985	183845	2610
986	184045	2424
987	184265	2238
988	184529	2052
989	184767	1866
990	185065	1680
991	185319	1494
992	185563	1308
993	185790	1121
994	186022	934
995	186240	747
996	186440	561
997	186676	374
998	186894	187
999	187103	0
